receivedWSAs,receivedWSAs_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
generatedWSAs,generatedWSAs_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
receivedBSMs,receivedBSMs_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,132304
2,136031
3,60235
4,124711
5,40752
6,39401
7,38395
8,36995
9,35104
10,31892
11,34864
12,35239
13,33976
14,32523
15,110476
16,30219
17,6580
18,4287
19,2877
20,1570
21,101742
22,93260
23,84745
24,80386
25,74432
26,71622
27,42961
28,132490
29,131727
30,87105
31,0
generatedBSMs,generatedBSMs_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,176243
2,180091
3,82197
4,163860
5,53937
6,52288
7,51197
8,49138
9,46725
10,42451
11,46609
12,47120
13,45417
14,43439
15,145210
16,40230
17,7884
18,4701
19,2822
20,1147
21,134245
22,122764
23,112233
24,106640
25,98929
26,95028
27,57372
28,176377
29,174907
30,0
31,0
receivedWSMs,receivedWSMs_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,34
2,34
3,24
4,34
5,18
6,18
7,17
8,18
9,17
10,18
11,15
12,15
13,17
14,17
15,34
16,17
17,0
18,0
19,0
20,0
21,29
22,29
23,29
24,27
25,27
26,27
27,17
28,34
29,34
30,11
31,0
generatedWSMs,generatedWSMs_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,1
2,1
3,3
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,3
12,3
13,1
14,1
15,1
16,1
17,0
18,0
19,0
20,0
21,1
22,1
23,1
24,3
25,3
26,3
27,1
28,1
29,1
30,11
31,0
ncollisions,ncollisions_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,72203
2,66483
3,59596
