chUtilizationSCH4,chUtilizationSCH4_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
chUtilizationSCH3,chUtilizationSCH3_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0.000233
12,0.000233
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0.000233
27,0
28,0
29,0
30,0
31,0
32,0.000233
33,0.000233
34,0.000699
35,0.000699
36,0.000699
37,0
38,0
39,0
40,0
chUtilizationSCH2,chUtilizationSCH2_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0.000233
12,0.000233
13,0
14,0
15,0
16,0
17,0.000233
18,0
19,0.000233
20,0
21,0
22,0.000233
23,0.000233
24,0.000233
25,0.000233
26,0
27,0.000233
28,0.000233
29,0.000233
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
chUtilizationSCH1,chUtilizationSCH1_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,0.000233
2,0.000233
3,0.000699
4,0.000233
5,0.000233
6,0.000233
7,0.000233
8,0.000233
9,0.000233
10,0.000233
11,0.000233
12,0.000233
13,0.000233
14,0.000233
15,0.000233
16,0.000233
17,0
18,0.000233
19,0
20,0.000233
21,0.000233
22,0.000466
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0.000233
38,0.000233
39,0.000233
40,0
packetsNotForMe,packetsNotForMe_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
